ticket_id,description,service_category,resolution_steps,resolution_summary,kb_article_id,resolution_template_id,root_cause,tags
INC3800888,"Hi Service Desk, Upgrade didn't go through properly; the app won't launch post‑update. Started after reboot. I'm in Pune. This is impacting 'Business App - BluePortal'. Error seen: TLS_HANDSHAKE_FAIL.. I already signed out and back in, restarted my laptop but the issue persists. Please help.",Database/App Backend,Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Software Bug,reopened
INC3801432,"Hello IT, Outlook won't load my inbox; keeps hanging. Started today. I'm in Hyderabad. This is impacting 'Web Frontend'. Error seen: 0x80070005.. I already signed out and back in, updated the app but the issue persists. Please help.",Email/Outlook,Started Outlook in safe mode and disabled add-ins; Rebuilt profile and let OST resync; Repaired Office and updated to latest build; Reset Windows Search index; Validated send/receive and calendar sync,Rebuilt Outlook profile and disabled conflicting add-ins; sync restored.,KB0000987,RES-TPL-002,Known Error,nan
INC3800712,"Hello Support, Getting an untrusted certificate warning when connecting to VPN. Started from home. I'm while working from home. This is impacting 'Payments DB'. Error seen: 0x80070005.. I already tried a different browser, switched networks but the issue persists. Please help.",Remote Access (VPN),Installed full certificate chain; Reissued gateway cert; Cleared client cache; Retested connection; Enabled auto-renewal,Installed full certificate chain; reissued gateway cert and restored VPN.,KB0001610,RES-TPL-006,Certificate Expired,nan
INC3801382,"Hello IT, System keeps alerting low disk space; temp/log files are piling up. Started from home. I'm while working from home. This is impacting 'Printing'. Error seen: TLS_HANDSHAKE_FAIL.. I already cleared cache, signed out and back in but the issue persists. Please help.",Printing,Identified top disk consumers (logs/cache/temp); Applied log rotation with compression; Purged obsolete archives as per retention policy; Adjusted thresholds and expanded volume if needed; Added proactive alerts at 70/85/90%,"Freed disk, enabled log rotation, tuned thresholds; alerts normalized.",KB0001320,RES-TPL-003,Misconfiguration,nan
INC3800070,"Hi Service Desk, Outgoing emails are bouncing/stuck in Outbox; got NDRs. Started post update. I'm in Mumbai. This is impacting 'Printing'. Error seen: 0x80070005.. I already tried a different browser, switched networks but the issue persists. Please help.",Email/Outlook,Reviewed NDR codes and message trace; Fixed transport rules causing rejection; Whitelisted recipient domain; Retriggered delivery and validated receipt; Monitored for recurrence,Reviewed NDRs and adjusted transport rules; deliveries succeeded.,KB0000987,RES-TPL-002,Vendor Issue,nan
INC3801268,"Hello Support, I'm facing an issue with the application and need help to resolve it. Started post update. I'm in Pune. This is impacting 'Container Platform'. Error seen: NDR 5.7.1.. I already updated the app, switched networks but the issue persists. Please help.",Printing,Cleared spooler queue; Reinstalled OEM driver and removed legacy packages; Remapped printer via policy; Printed test page and verified queue health; Monitored for 24 hours,"Cleared spooler, reinstalled driver, remapped printer; test page OK.",KB0000720,RES-TPL-007,Misconfiguration,nan
INC3801491,"Hi Team, I'm facing an issue with the application and need help to resolve it. Started post update. I'm in Chennai. This is impacting 'Container Platform'. Error seen: AUTH_FAIL.. I already restarted my laptop, tried a different browser but the issue persists. Please help.",App/Platform,Cleared Office cache and refreshed sign-in tokens; Checked service health dashboard; Repaired Office installation; Validated OneDrive/Teams connectivity; Synced licenses and reactivated apps,"Cleared Office cache, repaired apps, and validated service health.",KB0000987,RES-TPL-002,Misconfiguration,nan
INC3800607,"Hello IT, Sync client isn't syncing files; I see conflicts/red X icons. Started after password reset. I'm in Delhi. This is impacting 'Business App - BluePortal'. Error seen: NDR 5.7.1.. I already cleared cache, restarted my laptop but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive/Sync client; Resolved file lock conflicts; Reauthenticated and forced sync; Verified version history restoration; Confirmed green check marks,Reset client and resolved conflicts; files syncing normally.,KB0000987,RES-TPL-002,Misconfiguration,nan
INC3800433,"Hello IT, Post upgrade, the app crashes and needs a rollback. Started this morning. I'm in Mumbai. This is impacting 'Container Platform'. Error seen: NDR 5.7.1.. I already updated the app, signed out and back in but the issue persists. Please help.",Database/App Backend,Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Capacity Exhaustion,kb-high-confidence
INC3800051,"Hi Team, Something isn't working as expected and I'm blocked. Started this morning. I'm in Pune. This is impacting 'Business App - BluePortal'. Error seen: AUTH_FAIL.. I already updated the app, restarted my laptop but the issue persists. Please help.",Printing,Removed legacy driver packages; Installed OEM-signed driver; Remapped printer; Printed test page; Locked driver version,Installed correct OEM driver and remapped printer; test page OK.,KB0000720,RES-TPL-007,User Error,kb-high-confidence
INC3801199,"Hi Service Desk, Access denied even though I'm in the right group. Started post update. I'm in Mumbai. This is impacting 'Identity'. Error seen: 0xCAA20002. Ref. I already switched networks, tried a different browser but the issue persists. Please help.",Identity & Access,Reviewed group membership and ACLs; Synced directory and refreshed tokens; Validated access on the requested resource; Updated access request with approvals; Informed user on least-privilege policy,Updated group membership and synced directory; access granted.,KB0000100,RES-TPL-008,Misconfiguration,sla-response-breach;auto-resolution-candidate
INC3801128,"Hello IT, System keeps alerting low disk space; temp/log files are piling up. Started this afternoon. I'm in Mumbai. This is impacting 'Printing'. Error seen: AUTH_FAIL.. I already signed out and back in, updated the app but the issue persists. Please help.",Printing,Identified top disk consumers (logs/cache/temp); Applied log rotation with compression; Purged obsolete archives as per retention policy; Adjusted thresholds and expanded volume if needed; Added proactive alerts at 70/85/90%,"Freed disk, enabled log rotation, tuned thresholds; alerts normalized.",KB0001320,RES-TPL-003,Capacity Exhaustion,nan
INC3801190,"Hi Service Desk, Getting errors and unable to proceed with my work. Started post update. I'm on office Wi‑Fi. This is impacting 'Printing'. Error seen: 0x80070005.. I already tried a different browser, switched networks but the issue persists. Please help.",Remote Access (VPN),Checked VPN gateway health and authentication logs; Forced sign-out of stale sessions; Switched network and retried connection; Adjusted split-tunnel/DNS settings; Tested on wired and mobile hotspot,"Updated VPN client, adjusted DNS/split-tunnel, connection restored.",KB0001245,RES-TPL-001,Vendor Issue,kb-high-confidence
INC3801249,"Hi Service Desk, Getting errors and unable to proceed with my work. Started after password reset. I'm in Mumbai. This is impacting 'Printing'. Error seen: 0x80070005.. I already cleared cache, signed out and back in but the issue persists. Please help.",Printing,Cleared spooler queue; Reinstalled OEM driver and removed legacy packages; Remapped printer via policy; Printed test page and verified queue health; Monitored for 24 hours,"Cleared spooler, reinstalled driver, remapped printer; test page OK.",KB0000720,RES-TPL-007,User Error,nan
INC3801419,"Hello IT, Portal misbehaves on my browser; works on another (compatibility issue). Started this afternoon. I'm in Hyderabad. This is impacting 'Container Platform'. Error seen: NDR 5.7.1.. I already cleared cache, signed out and back in but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Cleared cache/cookies and disabled extensions; Switched to supported browser version; Applied site compatibility mode; Retested login and form submission; Updated user documentation,Applied compatibility mode and updated browser; portal functional.,KB0001902,RES-TPL-010,Misconfiguration,sla-response-breach
INC3800432,"Hello Support, Can't join Teams meetings—stuck on connecting/no video. Started after password reset. I'm in Mumbai. This is impacting 'Payments DB'. Error seen: TLS_HANDSHAKE_FAIL.. I already tried a different browser, switched networks but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Checked service health; Cleared Teams cache; Repaired Teams app; Switched network; Validated meeting join,"Cleared Teams cache, repaired app, and validated meeting join.",KB0000987,RES-TPL-002,Misconfiguration,sla-response-breach
INC3801452,"Hi Service Desk, TLS chain not trusted; browser blocks the site. Started this morning. I'm in Pune. This is impacting 'Printing'. Error seen: 0x80070005.. I already tried a different browser, restarted my laptop but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Reissued cert with correct SANs; Installed full chain (leaf+intermediate+root); Rebound listener and cleared SSL sessions; Validated with SSL scanners; Enabled auto-renewal and set T-30 reminder,Renewed TLS certificate and installed full chain; browsers clean.,KB0001610,RES-TPL-006,Misconfiguration,nan
INC3801470,"Hi Service Desk, App closes unexpectedly after a few seconds of use. Started during login. I'm in Noida. This is impacting 'Web Frontend'. Error seen: AUTH_FAIL.. I already tried a different browser, updated the app but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Captured crash logs and minidump; Rolled back problematic plugin; Increased memory limit and retry; Validated stability with soak test; Published fix notes,Rolled back faulty plugin and applied hotfix; app stable.,KB0001411,RES-TPL-004,Capacity Exhaustion,nan
INC3801234,"Hi Team, Can't join Teams meetings—stuck on connecting/no video. Started from home. I'm while working from home. This is impacting 'Identity'. Error seen: 0x80070005.. I already tried a different browser, switched networks but the issue persists. Please help.",Identity & Access,Checked service health; Cleared Teams cache; Repaired Teams app; Switched network; Validated meeting join,"Cleared Teams cache, repaired app, and validated meeting join.",KB0000987,RES-TPL-002,Vendor Issue,nan
INC3801281,"Hello IT, My MFA codes/prompts are failing during sign‑in. Started this morning. I'm in Bengaluru. This is impacting 'Identity'. Error seen: ERR_TIMEOUT. Ref. I already signed out and back in, cleared cache but the issue persists. Please help.",Identity & Access,Re-registered MFA device; Synced time on device; Cleared old registrations; Tested sign-in with backup method; Validated successful login,"Re-registered MFA, synced device time, and validated sign-in.",KB0000100,RES-TPL-008,Misconfiguration,kb-high-confidence
INC3801085,"Hi Service Desk, CPU spikes to 100% and the app becomes unresponsive. Started after reboot. I'm in Pune. This is impacting 'BluePortal'. Error seen: 0x80070005. Ref. I already updated the app, signed out and back in but the issue persists. Please help.",Database/App Backend,Right-sized resource limits; Scaled node pool and drained hot nodes; Tuned noisy processes and background jobs; Validated stability over 60 minutes; Documented changes in runbook,Right-sized resources and tuned background tasks; usage stabilized.,KB0001411,RES-TPL-004,Capacity Exhaustion,nan
INC3800610,"Hello Support, VPN shows a certificate not trusted/SSL handshake error. Started after password reset. I'm in Hyderabad. This is impacting 'Identity'. Error seen: NDR 5.7.1.. I already tried a different browser, updated the app but the issue persists. Please help.",Identity & Access,Installed full certificate chain; Reissued gateway cert; Cleared client cache; Retested connection; Enabled auto-renewal,Installed full certificate chain; reissued gateway cert and restored VPN.,KB0001610,RES-TPL-006,Misconfiguration,sla-response-breach
INC3801284,"Hello IT, App closes unexpectedly after a few seconds of use. Started this morning. I'm in Delhi. This is impacting 'Web Frontend'. Error seen: ERR_TIMEOUT.. I already cleared cache, switched networks but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Captured crash logs and minidump; Rolled back problematic plugin; Increased memory limit and retry; Validated stability with soak test; Published fix notes,Rolled back faulty plugin and applied hotfix; app stable.,KB0001411,RES-TPL-004,Capacity Exhaustion,nan
INC3801041,"Hi Service Desk, Portal shows old content or login loops until cache is cleared. Started after reboot. I'm in Delhi. This is impacting 'Container Platform'. Error seen: NDR 5.7.1.. I already signed out and back in, tried a different browser but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Cleared cache/cookies; Disabled problematic extensions; Hard-refreshed page; Updated browser; Documented steps for users,Cleared cache/cookies and updated browser; portal loads correctly.,KB0001902,RES-TPL-010,Misconfiguration,nan
INC3800220,"Hello Support, Getting an untrusted certificate warning when connecting to VPN. Started on office Wi-fi. I'm on office Wi‑Fi. This is impacting 'Container Platform'. Error seen: ERR_TIMEOUT.. I already cleared cache, restarted my laptop but the issue persists. Please help.",Remote Access (VPN),Installed full certificate chain; Reissued gateway cert; Cleared client cache; Retested connection; Enabled auto-renewal,Installed full certificate chain; reissued gateway cert and restored VPN.,KB0001610,RES-TPL-006,Certificate Expired,nan
INC3800339,"Hi Service Desk, Upgrade didn't go through properly; the app won't launch post‑update. Started on office Wi-fi. I'm on office Wi‑Fi. This is impacting 'Payments DB'. Error seen: TLS_HANDSHAKE_FAIL.. I already updated the app, tried a different browser but the issue persists. Please help.",Database/App Backend,Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Capacity Exhaustion,kb-high-confidence
INC3800423,"Hello IT, MFA keeps timing out and I can't log in. Started after password reset. I'm in Pune. This is impacting 'Remote Access'. Error seen: 0x80070005. Ref. I already switched networks, restarted my laptop but the issue persists. Please help.",Identity & Access,Re-registered MFA device; Synced time on device; Cleared old registrations; Tested sign-in with backup method; Validated successful login,"Re-registered MFA, synced device time, and validated sign-in.",KB0000100,RES-TPL-008,Misconfiguration,nan
INC3800428,"Hi Team, VPN keeps asking for credentials and then fails to connect. Started from home. I'm while working from home. This is impacting 'WAN'. Error seen: ERR_TIMEOUT.. I already restarted my laptop, switched networks but the issue persists. Please help.",Remote Access (VPN),Verified account status and MFA enrollment; Reset MFA and cleared cached VPN credentials; Updated VPN client and reimported profile; Validated time sync and TLS date/time; Confirmed successful connection and resource access,"Reset MFA, refreshed VPN profile, and verified successful authentication.",KB0001245,RES-TPL-001,User Error,nan
INC3801105,"Hello Support, Cloud sync is stuck with errors and files won't upload/download. Started today. I'm in Chennai. This is impacting 'BluePortal'. Error seen: TLS_HANDSHAKE_FAIL.. I already cleared cache, tried a different browser but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive/Sync client; Resolved file lock conflicts; Reauthenticated and forced sync; Verified version history restoration; Confirmed green check marks,Reset client and resolved conflicts; files syncing normally.,KB0000987,RES-TPL-002,Vendor Issue,sla-response-breach
INC3800076,"Hi Service Desk, Something isn't working as expected and I'm blocked. Started this morning. I'm in Pune. This is impacting 'WAN'. Error seen: NDR 5.7.1.. I already tried a different browser, switched networks but the issue persists. Please help.",Network/WAN,"Verified caller identity with MFA; Unlocked directory account; Enforced password reset with strong policy; Synced identity providers and purged stale tokens; Validated access across email, VPN, and apps",Identity verified and password reset; access validated across apps.,KB0000100,RES-TPL-008,User Error,auto-resolution-candidate
INC3801391,"Hello Support, Outlook won't load my inbox; keeps hanging. Started during login. I'm in Pune. This is impacting 'Printing'. Error seen: TLS_HANDSHAKE_FAIL.. I already tried a different browser, updated the app but the issue persists. Please help.",Email/Outlook,Started Outlook in safe mode and disabled add-ins; Rebuilt profile and let OST resync; Repaired Office and updated to latest build; Reset Windows Search index; Validated send/receive and calendar sync,Rebuilt Outlook profile and disabled conflicting add-ins; sync restored.,KB0000987,RES-TPL-002,Misconfiguration,nan
INC3800439,"Hi Team, Post upgrade, the app crashes and needs a rollback. Started after reboot. I'm in Mumbai. This is impacting 'Identity'. Error seen: TLS_HANDSHAKE_FAIL.. I already cleared cache, signed out and back in but the issue persists. Please help.",Identity & Access,Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Capacity Exhaustion,nan
INC3801336,"Hello Support, Sync client isn't syncing files; I see conflicts/red X icons. Started after password reset. I'm in Pune. This is impacting 'Payments DB'. Error seen: NDR 5.7.1.. I already switched networks, cleared cache but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive/Sync client; Resolved file lock conflicts; Reauthenticated and forced sync; Verified version history restoration; Confirmed green check marks,Reset client and resolved conflicts; files syncing normally.,KB0000987,RES-TPL-002,Misconfiguration,kb-high-confidence
INC3800864,"Hi Service Desk, Background process is hogging CPU; system slows down. Started after password reset. I'm in Mumbai. This is impacting 'Email'. Error seen: NDR 5.7.1.. I already signed out and back in, updated the app but the issue persists. Please help.",Email/Outlook,Right-sized resource limits; Scaled node pool and drained hot nodes; Tuned noisy processes and background jobs; Validated stability over 60 minutes; Documented changes in runbook,Right-sized resources and tuned background tasks; usage stabilized.,KB0001411,RES-TPL-004,Software Bug,sla-response-breach
INC3801080,"Hello IT, OneDrive shows sync paused/conflicts and won't upload. Started on office Wi-fi. I'm on office Wi‑Fi. This is impacting 'Printing'. Error seen: NDR 5.7.1.. I already signed out and back in, restarted my laptop but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive; Resolved conflicts; Forced sync; Reauthenticated; Verified status icons,"Reset client, resolved conflicts, forced sync; status icons green.",KB0000987,RES-TPL-002,Vendor Issue,nan
INC3800354,"Hello IT, The app keeps crashing/freezing when I try to use it. Started on office Wi-fi. I'm on office Wi‑Fi. This is impacting 'Web Frontend'. Error seen: ERR_TIMEOUT.. I already switched networks, updated the app but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Captured crash logs and minidump; Rolled back problematic plugin; Increased memory limit and retry; Validated stability with soak test; Published fix notes,Rolled back faulty plugin and applied hotfix; app stable.,KB0001411,RES-TPL-004,Software Bug,nan
INC3800365,"Hi Team, Getting errors and unable to proceed with my work. Started today. I'm in Hyderabad. This is impacting 'Email'. Error seen: 0xCAA20002.. I already cleared cache, updated the app but the issue persists. Please help.",Email/Outlook,Cleared Office cache and refreshed sign-in tokens; Checked service health dashboard; Repaired Office installation; Validated OneDrive/Teams connectivity; Synced licenses and reactivated apps,"Cleared Office cache, repaired apps, and validated service health.",KB0000987,RES-TPL-002,Misconfiguration,sla-response-breach
INC3800309,"Hi Team, Getting errors and unable to proceed with my work. Started during login. I'm in Mumbai. This is impacting 'Printing'. Error seen: 0xCAA20002.. I already restarted my laptop, updated the app but the issue persists. Please help.",Printing,"Verified caller identity with MFA; Unlocked directory account; Enforced password reset with strong policy; Synced identity providers and purged stale tokens; Validated access across email, VPN, and apps",Identity verified and password reset; access validated across apps.,KB0000100,RES-TPL-008,User Error,auto-resolution-candidate
INC3800736,"Hello IT, Background process is hogging CPU; system slows down. Started after reboot. I'm in Hyderabad. This is impacting 'Web Frontend'. Error seen: AUTH_FAIL.. I already cleared cache, restarted my laptop but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Right-sized resource limits; Scaled node pool and drained hot nodes; Tuned noisy processes and background jobs; Validated stability over 60 minutes; Documented changes in runbook,Right-sized resources and tuned background tasks; usage stabilized.,KB0001411,RES-TPL-004,Software Bug,kb-high-confidence
INC3800998,"Hi Team, TLS chain not trusted; browser blocks the site. Started post update. I'm in Delhi. This is impacting 'Payments DB'. Error seen: 0x80070005.. I already switched networks, restarted my laptop but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Reissued cert with correct SANs; Installed full chain (leaf+intermediate+root); Rebound listener and cleared SSL sessions; Validated with SSL scanners; Enabled auto-renewal and set T-30 reminder,Renewed TLS certificate and installed full chain; browsers clean.,KB0001610,RES-TPL-006,Certificate Expired,kb-high-confidence
INC3800621,"Hi Service Desk, Getting errors and unable to proceed with my work. Started after reboot. I'm in Mumbai. This is impacting 'Email'. Error seen: ERR_TIMEOUT.. I already signed out and back in, restarted my laptop but the issue persists. Please help.",Email/Outlook,Measured latency/jitter and packet loss; Failed over to healthy path; Adjusted QoS for critical apps; Opened ISP ticket with traces; Monitored trend for 24 hours,Failed over to healthier path and tuned QoS; latency improved.,KB0001801,RES-TPL-009,Network Flap,nan
INC3800543,"Hi Team, Sync keeps failing with conflicts; changes aren't appearing. Started after password reset. I'm in Pune. This is impacting 'Printing'. Error seen: TLS_HANDSHAKE_FAIL.. I already cleared cache, signed out and back in but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive/Sync client; Resolved file lock conflicts; Reauthenticated and forced sync; Verified version history restoration; Confirmed green check marks,Reset client and resolved conflicts; files syncing normally.,KB0000987,RES-TPL-002,Vendor Issue,sla-response-breach;kb-high-confidence
INC3801140,"Hello Support, I can't access/edit files in SharePoint—keeps saying access denied. Started during login. I'm in Pune. This is impacting 'Business App - BluePortal'. Error seen: 0xCAA20002.. I already switched networks, cleared cache but the issue persists. Please help.",Identity & Access,Reviewed site permissions; Updated group membership; Synced directory; Cleared cache; Validated access,Adjusted permissions and synced directory; user can access site.,KB0000100,RES-TPL-008,User Error,auto-resolution-candidate
INC3801296,"Hello Support, App requests are timing out; database seems slow/overloaded. Started from home. I'm while working from home. This is impacting 'BluePortal'. Error seen: AUTH_FAIL.. I already switched networks, updated the app but the issue persists. Please help.",Database/App Backend,Increased connection pool temporarily; Optimized hot queries and added missing indexes; Adjusted timeouts and enabled backoff; Load-tested critical paths; Finalized pool sizing and documented changes,Optimized queries and pool settings; timeouts eliminated.,KB0001502,RES-TPL-005,Software Bug,nan
INC3800554,"Hi Team, TLS chain not trusted; browser blocks the site. Started this morning. I'm in Noida. This is impacting 'Remote Access'. Error seen: TLS_HANDSHAKE_FAIL. Ref. I already restarted my laptop, cleared cache but the issue persists. Please help.",Remote Access (VPN),Reissued cert with correct SANs; Installed full chain (leaf+intermediate+root); Rebound listener and cleared SSL sessions; Validated with SSL scanners; Enabled auto-renewal and set T-30 reminder,Renewed TLS certificate and installed full chain; browsers clean.,KB0001610,RES-TPL-006,Misconfiguration,nan
INC3800679,"Hello IT, OneDrive isn't syncing; I see red X marks/conflicts on files. Started after password reset. I'm in Hyderabad. This is impacting 'Email'. Error seen: 0xCAA20002. Ref. I already signed out and back in, cleared cache but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive; Resolved conflicts; Forced sync; Reauthenticated; Verified status icons,"Reset client, resolved conflicts, forced sync; status icons green.",KB0000987,RES-TPL-002,Vendor Issue,nan
INC3800049,"Hello Support, I'm facing an issue with the application and need help to resolve it. Started from home. I'm while working from home. This is impacting 'Payments DB'. Error seen: NDR 5.7.1.. I already restarted my laptop, signed out and back in but the issue persists. Please help.",Database/App Backend,Cleared Office cache and refreshed sign-in tokens; Checked service health dashboard; Repaired Office installation; Validated OneDrive/Teams connectivity; Synced licenses and reactivated apps,"Cleared Office cache, repaired apps, and validated service health.",KB0000987,RES-TPL-002,Software Bug,nan
INC3800490,"Hello IT, Cloud sync is stuck with errors and files won't upload/download. Started on office Wi-fi. I'm on office Wi‑Fi. This is impacting 'BluePortal'. Error seen: 0xCAA20002.. I already restarted my laptop, cleared cache but the issue persists. Please help.",Collaboration (SharePoint/Teams/OneDrive),Reset OneDrive/Sync client; Resolved file lock conflicts; Reauthenticated and forced sync; Verified version history restoration; Confirmed green check marks,Reset client and resolved conflicts; files syncing normally.,KB0000987,RES-TPL-002,Vendor Issue,nan
INC3800316,"Hello IT, I can't access/edit files in SharePoint—keeps saying access denied. Started today. I'm in Delhi. This is impacting 'Web Frontend'. Error seen: 0xCAA20002.. I already cleared cache, tried a different browser but the issue persists. Please help.",Identity & Access,Reviewed site permissions; Updated group membership; Synced directory; Cleared cache; Validated access,Adjusted permissions and synced directory; user can access site.,KB0000100,RES-TPL-008,User Error,auto-resolution-candidate
INC3800904,"Hello Support, Emails to external domains are failing with nondelivery reports. Started during login. I'm in Chennai. This is impacting 'Web Frontend'. Error seen: 0x80070005.. I already updated the app, switched networks but the issue persists. Please help.",Email/Outlook,Reviewed NDR codes and message trace; Fixed transport rules causing rejection; Whitelisted recipient domain; Retriggered delivery and validated receipt; Monitored for recurrence,Reviewed NDRs and adjusted transport rules; deliveries succeeded.,KB0000987,RES-TPL-002,Misconfiguration,nan
